Epoch [1/50], Batch: 110 Loss: 0.0728, n.gate: 2, t.gate: GateCNN
Epoch [1/50], Batch: 110 Loss: 0.0125, n.gate: 2, t.gate: GateCNN2
Epoch [1/50], Batch: 120 Loss: 0.2797, n.gate: 0, t.gate: GateMLP
Epoch [1/50], Batch: 120 Loss: 0.0802, n.gate: 0, t.gate: GateCNN
Epoch [1/50], Batch: 120 Loss: 0.0146, n.gate: 0, t.gate: GateCNN2
Epoch [1/50], Batch: 120 Loss: 0.0713, n.gate: 1, t.gate: GateMLP
Epoch [1/50], Batch: 120 Loss: 0.0666, n.gate: 1, t.gate: GateCNN
Epoch [1/50], Batch: 120 Loss: 0.0194, n.gate: 1, t.gate: GateCNN2
Epoch [1/50], Batch: 120 Loss: 0.0444, n.gate: 2, t.gate: GateMLP
Epoch [1/50], Batch: 120 Loss: 0.0768, n.gate: 2, t.gate: GateCNN
Epoch [1/50], Batch: 120 Loss: 0.0146, n.gate: 2, t.gate: GateCNN2
Epoch [1/50], Batch: 130 Loss: 0.2735, n.gate: 0, t.gate: GateMLP
Epoch [1/50], Batch: 130 Loss: 0.1134, n.gate: 0, t.gate: GateCNN
Epoch [1/50], Batch: 130 Loss: 0.0197, n.gate: 0, t.gate: GateCNN2
Epoch [1/50], Batch: 130 Loss: 0.0609, n.gate: 1, t.gate: GateMLP
Epoch [1/50], Batch: 130 Loss: 0.0650, n.gate: 1, t.gate: GateCNN
Epoch [1/50], Batch: 130 Loss: 0.0252, n.gate: 1, t.gate: GateCNN2
Epoch [1/50], Batch: 130 Loss: 0.0418, n.gate: 2, t.gate: GateMLP
Epoch [1/50], Batch: 130 Loss: 0.0814, n.gate: 2, t.gate: GateCNN
Epoch [1/50], Batch: 130 Loss: 0.0174, n.gate: 2, t.gate: GateCNN2
Epoch [1/50], Batch: 140 Loss: 0.3278, n.gate: 0, t.gate: GateMLP
Epoch [1/50], Batch: 140 Loss: 0.0626, n.gate: 0, t.gate: GateCNN
Epoch [1/50], Batch: 140 Loss: 0.0111, n.gate: 0, t.gate: GateCNN2
Epoch [1/50], Batch: 140 Loss: 0.0530, n.gate: 1, t.gate: GateMLP
Epoch [1/50], Batch: 140 Loss: 0.0849, n.gate: 1, t.gate: GateCNN
Epoch [1/50], Batch: 140 Loss: 0.0295, n.gate: 1, t.gate: GateCNN2
Epoch [1/50], Batch: 140 Loss: 0.0385, n.gate: 2, t.gate: GateMLP
Epoch [1/50], Batch: 140 Loss: 0.0760, n.gate: 2, t.gate: GateCNN
Epoch [1/50], Batch: 140 Loss: 0.0175, n.gate: 2, t.gate: GateCNN2
Epoch [1/50], Batch: 150 Loss: 0.2656, n.gate: 0, t.gate: GateMLP
Epoch [1/50], Batch: 150 Loss: 0.0727, n.gate: 0, t.gate: GateCNN
Epoch [1/50], Batch: 150 Loss: 0.0162, n.gate: 0, t.gate: GateCNN2
Epoch [1/50], Batch: 150 Loss: 0.0633, n.gate: 1, t.gate: GateMLP
Epoch [1/50], Batch: 150 Loss: 0.0572, n.gate: 1, t.gate: GateCNN
Epoch [1/50], Batch: 150 Loss: 0.0238, n.gate: 1, t.gate: GateCNN2
Epoch [1/50], Batch: 150 Loss: 0.0466, n.gate: 2, t.gate: GateMLP
Epoch [1/50], Batch: 150 Loss: 0.0582, n.gate: 2, t.gate: GateCNN
Epoch [1/50], Batch: 150 Loss: 0.0158, n.gate: 2, t.gate: GateCNN2
Epoch [1/50], Batch: 160 Loss: 0.2059, n.gate: 0, t.gate: GateMLP
Epoch [1/50], Batch: 160 Loss: 0.0480, n.gate: 0, t.gate: GateCNN
Epoch [1/50], Batch: 160 Loss: 0.0097, n.gate: 0, t.gate: GateCNN2
Epoch [1/50], Batch: 160 Loss: 0.0441, n.gate: 1, t.gate: GateMLP
Epoch [1/50], Batch: 160 Loss: 0.0440, n.gate: 1, t.gate: GateCNN
Epoch [1/50], Batch: 160 Loss: 0.0171, n.gate: 1, t.gate: GateCNN2
Epoch [1/50], Batch: 160 Loss: 0.0340, n.gate: 2, t.gate: GateMLP
Epoch [1/50], Batch: 160 Loss: 0.0363, n.gate: 2, t.gate: GateCNN
Epoch [1/50], Batch: 160 Loss: 0.0146, n.gate: 2, t.gate: GateCNN2
Epoch [1/50], Batch: 170 Loss: 0.2703, n.gate: 0, t.gate: GateMLP
Epoch [1/50], Batch: 170 Loss: 0.0516, n.gate: 0, t.gate: GateCNN
Epoch [1/50], Batch: 170 Loss: 0.0108, n.gate: 0, t.gate: GateCNN2
Epoch [1/50], Batch: 170 Loss: 0.0504, n.gate: 1, t.gate: GateMLP
Epoch [1/50], Batch: 170 Loss: 0.0474, n.gate: 1, t.gate: GateCNN
Epoch [1/50], Batch: 170 Loss: 0.0148, n.gate: 1, t.gate: GateCNN2
Epoch [1/50], Batch: 170 Loss: 0.0298, n.gate: 2, t.gate: GateMLP
Epoch [1/50], Batch: 170 Loss: 0.0449, n.gate: 2, t.gate: GateCNN
Epoch [1/50], Batch: 170 Loss: 0.0091, n.gate: 2, t.gate: GateCNN2
Epoch [1/50], Batch: 180 Loss: 0.2233, n.gate: 0, t.gate: GateMLP
Epoch [1/50], Batch: 180 Loss: 0.0573, n.gate: 0, t.gate: GateCNN
Epoch [1/50], Batch: 180 Loss: 0.0117, n.gate: 0, t.gate: GateCNN2
Epoch [1/50], Batch: 180 Loss: 0.0687, n.gate: 1, t.gate: GateMLP
Epoch [1/50], Batch: 180 Loss: 0.0511, n.gate: 1, t.gate: GateCNN
Epoch [1/50], Batch: 180 Loss: 0.0179, n.gate: 1, t.gate: GateCNN2
Epoch [1/50], Batch: 180 Loss: 0.0398, n.gate: 2, t.gate: GateMLP
